,Structure,Combination,Score_type,RMSD,Template
41,5W1I_CD,ContextFold+RNAComposer,LRMSD,33.676,Template-free
42,5W1H,ContextFold+RNAComposer,LRMSD,34.697,Template-free
43,5W1I_AB,ContextFold+RNAComposer,LRMSD,34.851,Template-free
44,5WLH,ContextFold+RNAComposer,LRMSD,31.315,Template-based
45,5W1I_CD,ContextFold+RNAComposer,LRMSD,36.799,Template-based
46,5W1H,ContextFold+RNAComposer,LRMSD,49.616,Template-based
47,5W1I_AB,ContextFold+RNAComposer,LRMSD,48.653,Template-based
48,5WLH,MXfold2+RNAComposer,iRMSD,9.658,Template-free
49,5W1I_CD,MXfold2+RNAComposer,iRMSD,18.551,Template-free
50,5W1H,MXfold2+RNAComposer,iRMSD,18.243,Template-free
51,5W1I_AB,MXfold2+RNAComposer,iRMSD,15.393,Template-free
52,5WLH,MXfold2+RNAComposer,iRMSD,25.406,Template-based
53,5W1I_CD,MXfold2+RNAComposer,iRMSD,11.611,Template-based
54,5W1H,MXfold2+RNAComposer,iRMSD,16.246,Template-based
55,5W1I_AB,MXfold2+RNAComposer,iRMSD,15.077,Template-based
56,5WLH,MXfold2+RNAComposer,LRMSD,27.066,Template-free
57,5W1I_CD,MXfold2+RNAComposer,LRMSD,57.705,Template-free
58,5W1H,MXfold2+RNAComposer,LRMSD,52.974,Template-free
59,5W1I_AB,MXfold2+RNAComposer,LRMSD,46.811,Template-free
60,5WLH,MXfold2+RNAComposer,LRMSD,73.146,Template-based
61,5W1I_CD,MXfold2+RNAComposer,LRMSD,35.383,Template-based
62,5W1H,MXfold2+RNAComposer,LRMSD,46.653,Template-based
63,5W1I_AB,MXfold2+RNAComposer,LRMSD,45.904,Template-based
64,5WLH,IPKnot+RNAComposer,iRMSD,9.658,Template-free
65,5W1I_CD,IPKnot+RNAComposer,iRMSD,18.551,Template-free
66,5W1H,IPKnot+RNAComposer,iRMSD,18.243,Template-free
67,5W1I_AB,IPKnot+RNAComposer,iRMSD,15.393,Template-free
68,5WLH,IPKnot+RNAComposer,iRMSD,25.406,Template-based
69,5W1I_CD,IPKnot+RNAComposer,iRMSD,11.611,Template-based
70,5W1H,IPKnot+RNAComposer,iRMSD,16.246,Template-based
71,5W1I_AB,IPKnot+RNAComposer,iRMSD,15.077,Template-based
72,5WLH,IPKnot+RNAComposer,LRMSD,27.066,Template-free
73,5W1I_CD,IPKnot+RNAComposer,LRMSD,57.705,Template-free
74,5W1H,IPKnot+RNAComposer,LRMSD,52.974,Template-free
75,5W1I_AB,IPKnot+RNAComposer,LRMSD,46.811,Template-free
76,5WLH,IPKnot+RNAComposer,LRMSD,73.146,Template-based
77,5W1I_CD,IPKnot+RNAComposer,LRMSD,35.383,Template-based
78,5W1H,IPKnot+RNAComposer,LRMSD,46.653,Template-based
79,5W1I_AB,IPKnot+RNAComposer,LRMSD,45.904,Template-based
80,5WLH,RNAfold+RNAComposer,iRMSD,9.658,Template-free
81,5W1I_CD,RNAfold+RNAComposer,iRMSD,18.551,Template-free
82,5W1H,RNAfold+RNAComposer,iRMSD,18.243,Template-free
83,5W1I_AB,RNAfold+RNAComposer,iRMSD,15.393,Template-free
84,5WLH,RNAfold+RNAComposer,iRMSD,25.406,Template-based
85,5W1I_CD,RNAfold+RNAComposer,iRMSD,11.611,Template-based
86,5W1H,RNAfold+RNAComposer,iRMSD,16.246,Template-based
87,5W1I_AB,RNAfold+RNAComposer,iRMSD,15.077,Template-based
88,5WLH,RNAfold+RNAComposer,LRMSD,27.066,Template-free
89,5W1I_CD,RNAfold+RNAComposer,LRMSD,57.705,Template-free
90,5W1H,RNAfold+RNAComposer,LRMSD,52.974,Template-free
91,5W1I_AB,RNAfold+RNAComposer,LRMSD,46.811,Template-free
92,5WLH,RNAfold+RNAComposer,LRMSD,73.146,Template-based
93,5W1I_CD,RNAfold+RNAComposer,LRMSD,35.383,Template-based
94,5W1H,RNAfold+RNAComposer,LRMSD,46.653,Template-based
95,5W1I_AB,RNAfold+RNAComposer,LRMSD,45.904,Template-based
96,5WLH,RNAshapes+RNAComposer,iRMSD,9.658,Template-free
97,5W1I_CD,RNAshapes+RNAComposer,iRMSD,16.072,Template-free
98,5W1H,RNAshapes+RNAComposer,iRMSD,16.084,Template-free
99,5W1I_AB,RNAshapes+RNAComposer,iRMSD,17.557,Template-free
100,5WLH,RNAshapes+RNAComposer,iRMSD,25.406,Template-based
101,5W1I_CD,RNAshapes+RNAComposer,iRMSD,15.832,Template-based
102,5W1H,RNAshapes+RNAComposer,iRMSD,18.642,Template-based
103,5W1I_AB,RNAshapes+RNAComposer,iRMSD,15.673,Template-based
104,5WLH,RNAshapes+RNAComposer,LRMSD,27.066,Template-free
105,5W1I_CD,RNAshapes+RNAComposer,LRMSD,49.684,Template-free
106,5W1H,RNAshapes+RNAComposer,LRMSD,46.208,Template-free
107,5W1I_AB,RNAshapes+RNAComposer,LRMSD,53.682,Template-free
108,5WLH,RNAshapes+RNAComposer,LRMSD,73.146,Template-based
109,5W1I_CD,RNAshapes+RNAComposer,LRMSD,48.98,Template-based
110,5W1H,RNAshapes+RNAComposer,LRMSD,54.032,Template-based
111,5W1I_AB,RNAshapes+RNAComposer,LRMSD,47.713,Template-based
112,5WLH,RNAstructure+RNAComposer,iRMSD,9.658,Template-free
113,5W1I_CD,RNAstructure+RNAComposer,iRMSD,16.072,Template-free
114,5W1H,RNAstructure+RNAComposer,iRMSD,16.084,Template-free
115,5W1I_AB,RNAstructure+RNAComposer,iRMSD,17.557,Template-free
116,5WLH,RNAstructure+RNAComposer,iRMSD,25.406,Template-based
117,5W1I_CD,RNAstructure+RNAComposer,iRMSD,15.832,Template-based
118,5W1H,RNAstructure+RNAComposer,iRMSD,18.642,Template-based
119,5W1I_AB,RNAstructure+RNAComposer,iRMSD,15.673,Template-based
120,5WLH,RNAstructure+RNAComposer,LRMSD,27.066,Template-free
121,5W1I_CD,RNAstructure+RNAComposer,LRMSD,49.684,Template-free
122,5W1H,RNAstructure+RNAComposer,LRMSD,46.208,Template-free
123,5W1I_AB,RNAstructure+RNAComposer,LRMSD,53.682,Template-free
124,5WLH,RNAstructure+RNAComposer,LRMSD,73.146,Template-based
125,5W1I_CD,RNAstructure+RNAComposer,LRMSD,48.98,Template-based
126,5W1H,RNAstructure+RNAComposer,LRMSD,54.032,Template-based
127,5W1I_AB,RNAstructure+RNAComposer,LRMSD,47.713,Template-based
128,5WLH,CentroidFold+Rosetta,iRMSD,15.666,Template-free
129,5W1H,CentroidFold+Rosetta,iRMSD,18.457,Template-free
130,5W1I_CD,CentroidFold+Rosetta,iRMSD,12.07,Template-free
131,5W1I_AB,CentroidFold+Rosetta,iRMSD,11.473,Template-free
132,5WLH,CentroidFold+Rosetta,iRMSD,16.065,Template-based
133,5W1H,CentroidFold+Rosetta,iRMSD,16.753,Template-based
134,5W1I_CD,CentroidFold+Rosetta,iRMSD,12.066,Template-based
135,5W1I_AB,CentroidFold+Rosetta,iRMSD,13.471,Template-based
136,5WLH,CentroidFold+Rosetta,LRMSD,44.975,Template-free
137,5W1H,CentroidFold+Rosetta,LRMSD,53.698,Template-free
138,5W1I_CD,CentroidFold+Rosetta,LRMSD,37.552,Template-free
139,5W1I_AB,CentroidFold+Rosetta,LRMSD,34.7,Template-free
140,5WLH,CentroidFold+Rosetta,LRMSD,46.022,Template-based
141,5W1H,CentroidFold+Rosetta,LRMSD,48.459,Template-based
142,5W1I_CD,CentroidFold+Rosetta,LRMSD,36.628,Template-based
143,5W1I_AB,CentroidFold+Rosetta,LRMSD,41.447,Template-based
144,5WLH,CONTRAfold+Rosetta,iRMSD,18.518,Template-free
145,5W1H,CONTRAfold+Rosetta,iRMSD,11.227,Template-free
146,5W1I_CD,CONTRAfold+Rosetta,iRMSD,11.818,Template-free
147,5W1I_AB,CONTRAfold+Rosetta,iRMSD,13.47,Template-free
148,5WLH,CONTRAfold+Rosetta,iRMSD,11.214,Template-based
149,5W1H,CONTRAfold+Rosetta,iRMSD,15.467,Template-based
150,5W1I_CD,CONTRAfold+Rosetta,iRMSD,12.316,Template-based
151,5W1I_AB,CONTRAfold+Rosetta,iRMSD,10.496,Template-based
152,5WLH,CONTRAfold+Rosetta,LRMSD,53.206,Template-free
153,5W1H,CONTRAfold+Rosetta,LRMSD,32.05,Template-free
154,5W1I_CD,CONTRAfold+Rosetta,LRMSD,36.994,Template-free
155,5W1I_AB,CONTRAfold+Rosetta,LRMSD,41.505,Template-free
156,5WLH,CONTRAfold+Rosetta,LRMSD,31.662,Template-based
157,5W1H,CONTRAfold+Rosetta,LRMSD,44.601,Template-based
158,5W1I_CD,CONTRAfold+Rosetta,LRMSD,37.385,Template-based
159,5W1I_AB,CONTRAfold+Rosetta,LRMSD,31.504,Template-based
160,5WLH,ContextFold+Rosetta,iRMSD,13.681,Template-free
161,5W1H,ContextFold+Rosetta,iRMSD,13.175,Template-free
162,5W1I_CD,ContextFold+Rosetta,iRMSD,10.439,Template-free
163,5W1I_AB,ContextFold+Rosetta,iRMSD,12.744,Template-free
164,5WLH,ContextFold+Rosetta,iRMSD,13.216,Template-based
165,5W1H,ContextFold+Rosetta,iRMSD,16.569,Template-based
166,5W1I_CD,ContextFold+Rosetta,iRMSD,14.583,Template-based
167,5W1I_AB,ContextFold+Rosetta,iRMSD,10.194,Template-based
168,5WLH,ContextFold+Rosetta,LRMSD,39.103,Template-free
169,5W1H,ContextFold+Rosetta,LRMSD,38.354,Template-free
170,5W1I_CD,ContextFold+Rosetta,LRMSD,31.46,Template-free
171,5W1I_AB,ContextFold+Rosetta,LRMSD,39.29,Template-free
172,5WLH,ContextFold+Rosetta,LRMSD,37.939,Template-based
173,5W1H,ContextFold+Rosetta,LRMSD,48.001,Template-based
174,5W1I_CD,ContextFold+Rosetta,LRMSD,45.28,Template-based
175,5W1I_AB,ContextFold+Rosetta,LRMSD,30.474,Template-based
176,5WLH,MXfold2+Rosetta,iRMSD,14.912,Template-free
177,5W1H,MXfold2+Rosetta,iRMSD,12.911,Template-free
178,5W1I_CD,MXfold2+Rosetta,iRMSD,10.715,Template-free
179,5W1I_AB,MXfold2+Rosetta,iRMSD,11.018,Template-free
180,5WLH,MXfold2+Rosetta,iRMSD,18.704,Template-based
181,5W1H,MXfold2+Rosetta,iRMSD,21.713,Template-based
182,5W1I_CD,MXfold2+Rosetta,iRMSD,12.903,Template-based
183,5W1I_AB,MXfold2+Rosetta,iRMSD,12.755,Template-based
184,5WLH,MXfold2+Rosetta,LRMSD,43.139,Template-free
185,5W1H,MXfold2+Rosetta,LRMSD,37.666,Template-free
186,5W1I_CD,MXfold2+Rosetta,LRMSD,32.863,Template-free
187,5W1I_AB,MXfold2+Rosetta,LRMSD,33.379,Template-free
188,5WLH,MXfold2+Rosetta,LRMSD,54.047,Template-based
189,5W1H,MXfold2+Rosetta,LRMSD,63.131,Template-based
190,5W1I_CD,MXfold2+Rosetta,LRMSD,39.721,Template-based
191,5W1I_AB,MXfold2+Rosetta,LRMSD,38.465,Template-based
192,5WLH,IPKnot+Rosetta,iRMSD,17.549,Template-free
193,5W1H,IPKnot+Rosetta,iRMSD,11.029,Template-free
194,5W1I_CD,IPKnot+Rosetta,iRMSD,17.815,Template-free
195,5W1I_AB,IPKnot+Rosetta,iRMSD,14.659,Template-free
196,5WLH,IPKnot+Rosetta,iRMSD,12.717,Template-based
197,5W1H,IPKnot+Rosetta,iRMSD,23.436,Template-based
198,5W1I_CD,IPKnot+Rosetta,iRMSD,11.55,Template-based
199,5W1I_AB,IPKnot+Rosetta,iRMSD,13.426,Template-based
200,5WLH,IPKnot+Rosetta,LRMSD,50.848,Template-free
201,5W1H,IPKnot+Rosetta,LRMSD,32.121,Template-free
202,5W1I_CD,IPKnot+Rosetta,LRMSD,55.293,Template-free
203,5W1I_AB,IPKnot+Rosetta,LRMSD,44.868,Template-free
204,5WLH,IPKnot+Rosetta,LRMSD,36.754,Template-based
205,5W1H,IPKnot+Rosetta,LRMSD,68.077,Template-based
206,5W1I_CD,IPKnot+Rosetta,LRMSD,35.422,Template-based
207,5W1I_AB,IPKnot+Rosetta,LRMSD,40.909,Template-based
208,5WLH,RNAfold+Rosetta,iRMSD,11.918,Template-free
209,5W1H,RNAfold+Rosetta,iRMSD,17.999,Template-free
210,5W1I_CD,RNAfold+Rosetta,iRMSD,10.794,Template-free
211,5W1I_AB,RNAfold+Rosetta,iRMSD,11.113,Template-free
212,5WLH,RNAfold+Rosetta,iRMSD,11.53,Template-based
213,5W1H,RNAfold+Rosetta,iRMSD,12.895,Template-based
214,5W1I_CD,RNAfold+Rosetta,iRMSD,11.808,Template-based
215,5W1I_AB,RNAfold+Rosetta,iRMSD,10.606,Template-based
216,5WLH,RNAfold+Rosetta,LRMSD,33.646,Template-free
217,5W1H,RNAfold+Rosetta,LRMSD,52.256,Template-free
218,5W1I_CD,RNAfold+Rosetta,LRMSD,33.054,Template-free
219,5W1I_AB,RNAfold+Rosetta,LRMSD,34.095,Template-free
220,5WLH,RNAfold+Rosetta,LRMSD,32.81,Template-based
221,5W1H,RNAfold+Rosetta,LRMSD,37.076,Template-based
222,5W1I_CD,RNAfold+Rosetta,LRMSD,35.772,Template-based
223,5W1I_AB,RNAfold+Rosetta,LRMSD,31.799,Template-based
224,5WLH,RNAshapes+Rosetta,iRMSD,14.763,Template-free
225,5W1H,RNAshapes+Rosetta,iRMSD,25.458,Template-free
226,5W1I_CD,RNAshapes+Rosetta,iRMSD,22.575,Template-free
227,5W1I_AB,RNAshapes+Rosetta,iRMSD,10.744,Template-free
228,5WLH,RNAshapes+Rosetta,iRMSD,14.894,Template-based
229,5W1H,RNAshapes+Rosetta,iRMSD,24.662,Template-based
230,5W1I_CD,RNAshapes+Rosetta,iRMSD,11.143,Template-based
231,5W1I_AB,RNAshapes+Rosetta,iRMSD,13.714,Template-based
232,5WLH,RNAshapes+Rosetta,LRMSD,43.004,Template-free
233,5W1H,RNAshapes+Rosetta,LRMSD,74.291,Template-free
234,5W1I_CD,RNAshapes+Rosetta,LRMSD,70.421,Template-free
235,5W1I_AB,RNAshapes+Rosetta,LRMSD,32.575,Template-free
236,5WLH,RNAshapes+Rosetta,LRMSD,42.996,Template-based
237,5W1H,RNAshapes+Rosetta,LRMSD,71.879,Template-based
238,5W1I_CD,RNAshapes+Rosetta,LRMSD,33.791,Template-based
239,5W1I_AB,RNAshapes+Rosetta,LRMSD,41.952,Template-based
240,5WLH,RNAstructure+Rosetta,iRMSD,15.874,Template-free
241,5W1H,RNAstructure+Rosetta,iRMSD,13.698,Template-free
242,5W1I_CD,RNAstructure+Rosetta,iRMSD,9.948,Template-free
243,5W1I_AB,RNAstructure+Rosetta,iRMSD,11.6,Template-free
244,5WLH,RNAstructure+Rosetta,iRMSD,15.863,Template-based
245,5W1H,RNAstructure+Rosetta,iRMSD,12.777,Template-based
246,5W1I_CD,RNAstructure+Rosetta,iRMSD,16.754,Template-based
247,5W1I_AB,RNAstructure+Rosetta,iRMSD,25.33,Template-based
248,5WLH,RNAstructure+Rosetta,LRMSD,46.193,Template-free
249,5W1H,RNAstructure+Rosetta,LRMSD,39.495,Template-free
250,5W1I_CD,RNAstructure+Rosetta,LRMSD,30.874,Template-free
251,5W1I_AB,RNAstructure+Rosetta,LRMSD,35.186,Template-free
252,5WLH,RNAstructure+Rosetta,LRMSD,46.088,Template-based
253,5W1H,RNAstructure+Rosetta,LRMSD,36.343,Template-based
254,5W1I_CD,RNAstructure+Rosetta,LRMSD,51.877,Template-based
255,5W1I_AB,RNAstructure+Rosetta,LRMSD,78.254,Template-based
